"Country",Latitude,Longitude,"SiteID","SiteName"
"France",47.51,6.8,"S1000","Pierre Folle"
"France",48.23,0.16,"S1001","A 28 Nord"
"France",48.23,0.16,"S1002","A 28"
"Germany",50.7886,6.07437,"S1003","Aachen, Lousberg"
"Netherlands",51.42,5.29,"S1004","Aardhorst-Vessem"
"Sweden",55.4,13.6,"S1007","Abbekås"
"Great Britain",51.9691,-5.0823,"S1010","Abermawr I"
"Great Britain",51.68,-1.2613,"S1011","Abingdon"
"France",46.63,0.59,"S1012","Abri de Bellefonds"
"Belgium",50.25,4.9,"S1014","Abri des Autours"
"France",43.519,5.314,"S1015","Abri des Boeufs"
"Belgium",50.36,4.88,"S1016","l'Abri sous roche du Chaveau"
"Belgium",50.26,4.91,"S1017","Abri du Pape"
"Belgium",50.42,5.53,"S1018","Abri Lechat"
"Luxembourg",49.77,6.27,"S1019","Abri Loschbour"
"Germany",51.26,10.76,"S1026","Abtsbessingen"
"France",45.02,-0.09,"S1033","Abzac, Camp de Petreau"
"Germany",52.4,7.9333,"S1037","Achmer"
"Sweden",58.1,11.86,"S1038","Ackes tomt"
"France",48.76,1.06,"S1039","Acon"
"Great Britain",50.9969,-0.8798,"S1040","adjacent to barrows excavated 1973-5"
"Switzerland",47.4684,7.59457,"S1041","Aesch"
"Sweden",55.93,13.42,"S1042","Ageröd V"
"Germany",52.7587,9.5493,"S1043","Ahlden"
"France",43.55,5.52,"S1044","Aix en Provence dolmen de Saint Marc"
"France",45.72,5.88,"S1045","Aix-les-Bains"
"Sweden",57.2835,18.1999,"S1048","Ajvide"
"Belgium",50.717,5.283,"S1051","Al Zèpe"
"Sweden",56.483,16.5667,"S1055","Alby"
"Germany",50.8949,6.28712,"S1057","Aldenhoven"
"France",45.6833,5.35,"S1058","Alfort"
"Switzerland",46.4674,6.38267,"S1064","Allaman - En Verex"
"Switzerland",47.4172,7.11221,"S1065","Alle - Noir Bois"
"Germany",48.1066,9.62439,"S1066","Alleshausen, Grundwiesen"
"Germany",48.09,9.62,"S1067","Alleshausen, Täschenwiesen"
"Netherlands",52.34,5.3,"S1069","Almere-Hout \"Zwaanpad\""
"Netherlands",52.398,5.298,"S1070","Almere-Zenit "
"Germany",51.69,11.68,"S1071","Alsleben"
"Great Britain",56.9485,-7.5241,"S1072","Alt Chrysal"
"Ireland",54.568,-7.0367,"S1073","Altanagh"
"Germany",51.21,9.2,"S1074","Altendorf"
"Great Britain",52.5563,-0.2902,"S1075","Alton Longville"
"Sweden",58.28,14.68,"S1076","Alvastra, V.Tollstad 12"
"Sweden",58.3,14.65,"S1077","Alvastra"
"Netherlands",52.1566,5.3888,"S1078","Amersfoort"
"Germany",51.25,10.44,"S1079","Ammern"
"Great Britain",57.6368,-6.2042,"S1081","An Corran"
"Sweden",58.15,11.81,"S1082","Ängås"
"Sweden",55.58,13.12,"S1083","Ängdala"
"Netherlands",52.78,6.93,"S1084","Angelslo"
"Germany",50.62,9.44,"S1085","Angersbach"
"Netherlands",53.035,6.722,"S1086","Anloo"
"Great Britain",54.1014,-6.6173,"S1087","Annaghmare"
"Netherlands",53.07,6.69,"S1088","Annertol"
"Great Britain",53.3446,-1.2053,"S1089","Anston Stones Cave"
"Great Britain",51.4899,-0.2354,"S1090","Hammersmith"
