X,Y,Z,Name,description
4.64428,52.5964,0,Adalbertusput,"
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Noord-Holland <b>Alt Name:</b> Sint Adalbertusput, Adalbertusakker. <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.5964 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.64428<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/adalbertusput.jpg"" align=""right"" valign=""top""></a>
<br />
                    Holy Well or Sacred Spring in Noord-Holland. Sacred well dedicated to Saint Adalbert of Egmond (died c. 710 in Egmond)....<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=53857"" >Link To More Information</a><br />
                    "
6.00265,53.32222,0,Bonifatiusbron Holy Well,"
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Friesland <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 53.32222 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.00265<br />
                    Holy Well or Sacred Spring in Friesland. The original mediaeval Well dedicated to Saint Boniface was located in the centre of Dokkum, at the Markt. During a catholic revival in the second half of the ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58674"" >Link To More Information</a><br />
                    "
6.15544,52.25201,0,De LebuÃ¯nusput,"
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Overijssel <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.25201 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.15544<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/lebui776nus.jpg"" align=""right"" valign=""top""></a>
<br />
                    Holy Well or Sacred Spring in Overijssel. Old well in the crypt of the LebuÃ¯nuskerk. According to legend, saint LebuÃ¯nus founded the church at the site of an old pagan Sacred Well.<br />
Picture: 1...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58641"" >Link To More Information</a><br />
                    "
5.80223,50.87075,0,Gerlachusputje,"
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Limburg <b>Alt Name:</b> Gerlachusbron, Sint Gerlachusputje, Sint Gerlachusbron <br /> Pos Accuracy: <b>4</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 50.87075 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.80223<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/IMG_2097_Gerlachus_put.jpg"" align=""right"" valign=""top""></a>
<br />
                    A holy well in Limburg, Netherlands, dedicated to the 12th Century Saint Gerlachus, who lived nearby in a hollow oak. [that sounds cosy - MegP Ed]. More information: Article  by the Dutch Meertens Ins...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58676"" >Link To More Information</a><br />
                    "
5.71475,51.57995,0,Heilig Putje (Handel),"
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Noord-Brabant <b>Alt Name:</b> Wonderbare Bron, Heilige Bron <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 51.57995 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.71475<br />
                    Holy Well or Sacred Spring in Noord-Brabant. Holy well in procession park, dedicated to Saint Mary. Miracle cures, pilgrimages. <br />
Article  from the Dutch Meertensinstituut....<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58848"" >Link To More Information</a><br />
                    "
5.986386,50.775436,0,Lambertusbron,"
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Limburg <br /> Pos Accuracy: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 50.775436 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.986386<br />
                    Holy Well or Sacred Spring in Limburg. The Lambertusbron is a holy spring in Holset dedicated to Saint Lambert. The spring lies at the foot of a hill with a church on it. There used to be a temple ded...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=45306"" >Link To More Information</a><br />
                    "
4.79983,52.80813,0,Maria-op-de-Keins,"
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Noord-Holland <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.80813 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.79983<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/983AE3CE-87BD-47E3-BF6A-E6C432F23493.jpeg"" align=""right"" valign=""top""></a>
<br />
                    Holy Well or Sacred Spring in Noord-Holland. Chapel for Saint Mary, with Holy Well with alleged healing qualities. <br />
Dutch essay about the site here. ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58626"" >Link To More Information</a><br />
                    "
5.99749,51.18103,0,O.L. Vrouweput in Kapel het Zand,"
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Limburg <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 51.18103 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.99749<br />
                    Allegedly a statue of saint Mary was found in this well in 1437. The well nowadays is part of a catholic religious complex, a place of pilgrimage.. Article from the Dutch Meertens Instituut about the ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58733"" >Link To More Information</a><br />
                    "
4.68702,52.58389,0,Runxputte,"
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Noord-Holland <b>Alt Name:</b> Onze Lieve Vrouwe ter Nood <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.58389 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.68702<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/Runxput_bij_Mariakapel_OLV_ter_Nood-by_Theo_Bu.jpg"" align=""right"" valign=""top""></a>
<br />
                    One of three holy wells in and around Heiloo. According to legend this well was originally named after the Norman count Rorik, a historical figure from the 9th Century. . ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=53881"" >Link To More Information</a><br />
                    "
5.96689,51.25038,0,"Servaasput, Nunhem","
        <b>Type:</b> Holy Well or Sacred Spring <b>County/Region:</b> Limburg <b>Alt Name:</b> Sint Servatiuskapel en -put <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 51.25038 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.96689<br />
                    Holy Well or Sacred Spring in Limburg. Holy Well dedicated to Saint Servatius. Miracle water was used against fevers. The well is next to a chapel. <br />
Article from the Dutch Meertensinstituut. ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58810"" >Link To More Information</a><br />
                    "
