X,Y,Z,Name,description
4.89282,52.36882,0,Allard Pierson Museum,"
        <b>Type:</b> Museum <b>County/Region:</b> Noord-Holland <b>Alt Name:</b> Amsterdam Museum of Antiquities <br /> Pos Accuracy: <b>4</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.36882 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.89282<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/100743245_029c9658a6_b.jpg"" align=""right"" valign=""top""></a>
<br />
                    In the Amsterdam University Allard Pierson Museum was a special exhibition about the reconstruction of the lost colours used in antiquity to enhance sculptures. To see them as they were seen in their ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=13033"" >Link To More Information</a><br />
                    "
4.65173,52.11407,0,"Archeologiehuis Zuid-Holland, Archeon","
        <b>Type:</b> Museum <b>County/Region:</b> Zuid-Holland <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   (5 is best)<br />
                    <b>Lat:</b> 52.11407 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.65173<br />
                    Museum in Zuid-Holland. Provincial archeology museum, plus an open-air museum (mostly meant for children). <br />
Official Web Site: https://www.archeologiehuiszuidholland.nl/...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=53882"" >Link To More Information</a><br />
                    "
5.760589,50.965331,0,Archeologiemuseum Stein,"
        <b>Type:</b> Museum <b>County/Region:</b> Limburg <b>Alt Name:</b> Grafkelder van Stein <br /> Pos Accuracy: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 50.965331 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.760589<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/1024px-Stein_-_Grafkelder_van_Stein_1.jpg"" align=""right"" valign=""top""></a>
<br />
                    Museum in Limburg. In april 1963 a Neolithic grafkelder (cist) was discovered by P. Modderman and it was excavated the same year. A museum was erected around it, which was opened in june 1967.<br />
...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=44991"" >Link To More Information</a><br />
                    "
4.70864,52.59621,0,Archeologisch museum Baduhenna Heiloo,"
        <b>Type:</b> Museum <b>County/Region:</b> Noord-Holland <br /> Pos Accuracy: <b>5</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.59621 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.70864<br />
                    Museum in Noord-Holland. Small local archaeological museum with interesting prehistoric finds.<br /><br />Website: http://www.baduhenna.nl/...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=53872"" >Link To More Information</a><br />
                    "
4.6362052,52.3811162,0,Archeologisch Museum Haarlem,"
        <b>Type:</b> Museum <b>County/Region:</b> Noord-Holland <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.3811162 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.6362052<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/60496-2024-06-29-14-52-50.jpg"" align=""right"" valign=""top""></a>
<br />
                    Museum in Noord-Holland. A small museum that displays artefacts from Haarlem's history in a room in the basement. There are also some interesting films. Admission is free....<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=60496"" >Link To More Information</a><br />
                    "
4.486973,51.920269,0,DeTijdTrap,"
        <b>Type:</b> Museum <b>County/Region:</b> Zuid-Holland <b>Alt Name:</b> The Time Staircase <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 51.920269 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.486973<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/ijo_IMG_2146.jpg"" align=""right"" valign=""top""></a>
<br />
                    Museum in Zuid-Holland. Rotta, a village predating the city of Rotterdam <br />
The river Rotte dates back at al least 2500 years ago. From the early beginning people lived on its shores, as archaeol...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58600"" >Link To More Information</a><br />
                    "
6.5644,52.9933,0,Drents Museum,"
        <b>Type:</b> Museum <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.9933 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.5644<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/trk_P1090484.JPG"" align=""right"" valign=""top""></a>
<br />
                    Museum in Drenthe. The Drents Museum is an art and history museum in Assen.<br />
<br />
The museum has a large permanent collection of prehistoric artifacts from the province of Drenthe. It include...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=44059"" >Link To More Information</a><br />
                    "
5.2078,52.24639,0,Geologisch Museum Hofland,"
        <b>Type:</b> Museum <b>County/Region:</b> Noord-Holland <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.24639 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.2078<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/aiy_DSC06495.jpg"" align=""right"" valign=""top""></a>
<br />
                    Museum in Noord-Holland. Geological museum with section about the archeology and early history of the region.<br />
Museum website.  ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58909"" >Link To More Information</a><br />
                    "
5.17332,52.0257,0,Het Archeologiemuseum in Houten,"
        <b>Type:</b> Museum <b>County/Region:</b> Utrecht <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.0257 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.17332<br />
                    Museum in Utrecht. Regional archeological museum.<br />
<br />
https://www.archeologiehouten.nl/<br />
...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=53900"" >Link To More Information</a><br />
                    "
6.6474,52.102133,0,Historisch Museum De Scheper,"
        <b>Type:</b> Museum <b>County/Region:</b> Gelderland <br /> Pos Accuracy: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.102133 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.6474<br />
                    Museum in Gelderland. At the museum ancient pottery and tools are displayed which have been found in the region.<br />
<br />
website: www.museumdescheper.nl/...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=37823"" >Link To More Information</a><br />
                    "
