X,Y,Z,Name,description
6.410473,53.104888,0,D1 Steenbergen,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 53.104888 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.410473<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/rsD1Roden2011Bild1.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave near Steenbergen. Easy access by car, nearly next to it (Google Map it).
<br /><br />
Like [nearly] all hunebedden (passage graves), this one has been restored in the years 1920 by Pro...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=362"" >Link To More Information</a><br />
                    "
6.658,53.04247,0,D10 Gasteren,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>5</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 53.04247 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.658<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D10Gasteren2010Bild4.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave at Gasteren in Drenthe. D10 can be found in the dunes to the north of Gasteren.
<br /><br /> Monumentenregister (Historic Monument)
<br /><br /> Hunebeddeninfo (Dutch Information)
<br...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=372"" >Link To More Information</a><br />
                    "
6.7079423,53.0302279,0,D11 Anloo,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> D11 Anloo-Zuid <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 53.0302279 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.7079423<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D11Anloo2010Bild3a.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave near Anloo in Drenthe. This one is a bit far into the forest. <br />
Signposted at (53.0349, 6.6993). From there, count about 1+ km on foot or, however incongruous it may sound, by car....<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=373"" >Link To More Information</a><br />
                    "
6.7237931,53.0149079,0,D12 Eext,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> D12 Eext-Es <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 53.0149079 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.7237931<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D12Eext2010Bild1.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave near Eext in Drenthe. <br /><br /> Monumentenregister (Historic Monument)
<br /><br /> Hunebeddeninfo (Dutch Information)
<br /><br /> Short info (Site Hans Meijer)
...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=374"" >Link To More Information</a><br />
                    "
6.7271107,53.0113653,0,D13 Eext,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> De Stemberg <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 53.0113653 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.7271107<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D13Eext2009Bild5.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave near Eext in Drenthe. An interesting Hunebed this, as it still remains under most of its barrow.
<br /><br /> Monumentenregister (Historic Monument)
<br /><br /> Hunebeddeninfo (Dutch ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=375"" >Link To More Information</a><br />
                    "
6.7305003,53.0017555,0,D14 Eexterhalte,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 53.0017555 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.7305003<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D14_Eexterhalte.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave near Gieten in Drenthe. This one's a monster and in stunning condition. Easy to find, too, though I'd imagine on a nice day crawling with picnickers.
<br /><br /> Monumentenregister (Hi...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=376"" >Link To More Information</a><br />
                    "
6.61303,53.02275,0,D15 Loon,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>3</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 53.02275 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.61303<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D15Loon2010Bild8a.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave near Loon in Drenthe. Out of the village of Loon only one field's width away from the railway track this ones got tons to see. Kerbstones, bit of barrow, good capstones and tons of style...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=377"" >Link To More Information</a><br />
                    "
6.6189895,53.0004241,0,D16 Balloo,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 53.0004241 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.6189895<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D16Balloo2010Bild2.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave at Balloo in Drenthe. This one is really hard to find, but worth the effort. We thought it was the finest hunebed of them all.
<br /><br />
Additional Comment by Alta-Falisa (JUL.2017)...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=378"" >Link To More Information</a><br />
                    "
6.6495,52.99003,0,D17 Rolde,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>3</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.99003 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.6495<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D17Rolde2009Bild1.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave at Rolde in Drenthe. There are two hunebedden, D17 and D18, at Rolde, at the back of the village in parkland by the church.<br />D17 is more unkempt than its larger sister, with capstone...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=379"" >Link To More Information</a><br />
                    "
6.649174,52.9895255,0,D18 Rolde,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>3</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.9895255 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.649174<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/d18.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave at Rolde in Drenthe. There are two hunebedden, D17 and D18, at Rolde, at the back of the village in parkland by the church.<br />D18 is bigger and in much better condition than its siste...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=380"" >Link To More Information</a><br />
                    "
