X,Y,Z,Name,description
6.6964,53.0608,0,Anloo Galgenberg,"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Drenthe <b>Alt Name:</b> Gallows Hill <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>5</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 53.0608 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.6964<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/Galgenberg-01.jpg"" align=""right"" valign=""top""></a>
<br />
                    Round Barrow(s) in Drenthe. The Galgenberg (Gallows Hill), is believed to date from the Late Neolithic or early Bronze Age, and stands on a crossing point of ancient routes through the sandy Hondsrug ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=35638"" >Link To More Information</a><br />
                    "
6.6537,53.0139,0,Balloo Galgenberg,"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Drenthe <b>Alt Name:</b> Gallows Hill <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 53.0139 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.6537<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/01-Galgenberg.jpg"" align=""right"" valign=""top""></a>
<br />
                    Round Barrow(s) in Drenthe. The BalloÃ«rveld, an extensive area of protected natural heathland a couple of kilometres north-east of the village of Balloo, is especially noted for its huge number of Br...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=35640"" >Link To More Information</a><br />
                    "
6.789282,52.936176,0,Borger Round Barrow,"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>4</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.936176 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.789282<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/huegelgrab-borger-02.jpg"" align=""right"" valign=""top""></a>
<br />
                    Round Barrow(s) in Drenthe. Round Barrow near Borger, very easy to see from the main street to Borger...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=19501"" >Link To More Information</a><br />
                    "
5.3029336193495,52.170215058622,0,Enghenbergje,"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Utrecht <b>Alt Name:</b> Engenbergje <br /> Pos Accuracy: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.170215058622 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.3029336193495<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/alv_P1080452.jpg"" align=""right"" valign=""top""></a>
<br />
                    Round Barrow in Utrecht. Rijksmonument (national monument) number: 45994<br />
<br />
Round barrow on the highest point of the Soester Eng in Soest, dating from 2500 - 2000 BC.<br />
<br />
In 193...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=37431"" >Link To More Information</a><br />
                    "
6.86553,52.84755,0,Eppiesbergje,"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Drenthe <b>Alt Name:</b> Eppiesbarchien <br /> Pos Accuracy: <b>5</b>  Ambience: <b>5</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.84755 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.86553<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/Eppiesbarchien-02.jpg"" align=""right"" valign=""top""></a>
<br />
                    Round Barrow(s) in Drenthe. Eppiesbergje, also known as Eppiesbarchie (and Eppiesbarchien in Flemish), is the largest burial cairn in the Dutch province of Drenthe, and was built during the age of the...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=35633"" >Link To More Information</a><br />
                    "
6.877,52.86961,0,Exloo Zuideres,"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>5</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 52.86961 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.877<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/002-frontal-Exloo-Zuideres.jpg"" align=""right"" valign=""top""></a>
<br />
                    Round Barrow(s) in Drenthe. Anyone visiting Hunebed D30 Exloo would do well to walk on another half-kilometre farther along the neatly cobbled access road where a large burial mound stands surrounded ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=35645"" >Link To More Information</a><br />
                    "
6.7712,52.8145,0,Galgenberg (Sleenerzand),"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>5</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 52.8145 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.7712<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/001-Sleenerzand_from_SW.jpg"" align=""right"" valign=""top""></a>
<br />
                    This is yet another Galgenberg (Gallows Hill), so named because it was the site of a gallows in mediaeval times.. It is located amongst the heath and woodlands of the Sleenerzand reserve between the c...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=37840"" >Link To More Information</a><br />
                    "
5.3670431340069,52.144043540053,0,Galgenberg Amersfoort (45449),"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Utrecht <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>3</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.144043540053 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.3670431340069<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/dln_P1080475.jpg"" align=""right"" valign=""top""></a>
<br />
                    Likely round barrow in Utrecht. According to the Rijksmonument description this medieval gallows hill is very likely a prehistoric round barrow.. Rijksmonument (national monument) number: 45449...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=37550"" >Link To More Information</a><br />
                    "
6.177497225123,51.344712065593,0,Generaalsheuvel (46123),"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Limburg <br /> Pos Accuracy: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 51.344712065593 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.177497225123<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/Venlo-Grafheuvels_Jammerdaalse_Heide.png"" align=""right"" valign=""top""></a>
<br />
                    Round Barrow in Limburg. The iron age round barrow at this site is called generaalsheuvel (generals hill)<br />
<br />
Rijksmonument (national monument) number: 46123<br />
<br />
 Wikipedia entry...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=37549"" >Link To More Information</a><br />
                    "
5.339370167247,51.420516281949,0,Grafheuvel #4 Kleine Vliet (46130),"
        <b>Type:</b> Round Barrow(s) <b>County/Region:</b> Noord-Brabant <br /> Pos Accuracy: <b>1</b>  (5 is best)<br />
                    <b>Lat:</b> 51.420516281949 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.339370167247<br />
                    Round Barrow(s) in Noord-Brabant. Rijksmonument (national monument) number: 46130...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=37556"" >Link To More Information</a><br />
                    "
